Barri,Metres_Quadrats,Num_Habitacions,Num_Lavabos,Preu,Tipus_Immoble
Dreta de l´Eixample,71,2,2,1.520 €,Piso
Esquerra Alta de l´Eixample,123,3,2,1.430 €,Piso
Sant Gervasi - Galvany,129,3,2,1.780 €,Piso
Badal,86,2,2,1.150 €,Apartamento
Putget - Farró,105,3,2,1.900 €,Piso
Tres Torres,58,,1,900 €,Piso
Esquerra Alta de l´Eixample,130,,1,2.000 €,Piso
Dreta de l´Eixample,80,2,2,1.600 €,Piso
Camp d´en Grassot - Gràcia N.,61,2,2,1.050 €,Piso
Pedralbes,120,4,2,1.300 €,Piso
Les Corts,84,3,2,1.300 €,Piso
Sant Gervasi - Galvany,190,4,3,4.200 €,Piso
Putget - Farró,230,6,3,2.950 €,Piso
Esquerra Alta de l´Eixample,104,3,2,1.500 €,Piso
Gòtic,104,,1,1.500 €,Piso
Sant Gervasi - Galvany,151,3,2,2.100 €,Piso
Dreta de l´Eixample,67,2,2,1.850 €,Piso
Sant Gervasi - Galvany,110,2,2,1.600 €,Piso
Putget - Farró,130,3,2,2.800 €,Ático
Dreta de l´Eixample,75,,1,2.300 €,Casa
Dreta de l´Eixample,117,2,2,1.850 €,Piso
Dreta de l´Eixample,132,3,3,1.850 €,Piso
Sant Gervasi - Galvany,154,4,3,1.990 €,Piso
Sant Gervasi - Bonanova,70,2,1,850 €,Piso
Vila de Gràcia,80,4,1,1.000 €,Piso
Tres Torres,150,4,3,2.700 €,Piso
Esquerra Alta de l´Eixample,74,4,1,1.000 €,Piso
Sarrià,80,2,1,1.300 €,Piso
Sant Gervasi - Bonanova,66,2,1,975 €,Ático
Putget - Farró,40,,1,700 €,Apartamento
La Marina-Montjuïc,84,3,1,900 €,Piso
Camp d´en Grassot - Gràcia N.,75,2,1,1.000 €,Piso
El Coll,60,3,1,778 €,Piso
St. Pere - Sta. Caterina - El Born,116,3,2,1.500 €,Piso
La Bordeta,55,2,1,870 €,Piso
Sant Gervasi - Galvany,70,3,1,1.200 €,Piso
Esquerra Alta de l´Eixample,73,3,1,1.150 €,Piso
Esquerra Alta de l´Eixample,85,2,2,1.100 €,Piso
Sant Ramon - Maternitat,105,4,2,1.350 €,Piso
Esquerra Baixa de l´Eixample,70,3,1,1.000 €,Piso
Fort Pienc,50,,1,920 €,Apartamento
Carmel,110,2,2,975 €,Piso
Sant Gervasi - Galvany,105,3,2,1.780 €,Piso
Sagrada Família,70,2,1,890 €,Piso
Poble Sec,53,,1,740 €,Piso
Dreta de l´Eixample,110,3,2,1.800 €,Piso
Vila de Gràcia,34,,1,800 €,Loft
Sant Gervasi - Galvany,180,5,2,2.000 €,Piso
Guinardó,65,3,2,940 €,Piso
Sant Gervasi - Galvany,152,5,2,1.950 €,Piso
La Bordeta,71,2,1,1.060 €,Piso
Sants,30,,1,625 €,Estudio
Gòtic,154,2,2,2.000 €,Piso
Turó de la Peira - Can Peguera,70,2,1,750 €,Piso
Sant Gervasi - Galvany,50,,1,1.075 €,Loft
Sant Antoni,67,,1,1.100 €,Piso
Dreta de l´Eixample,60,2,1,1.000 €,Piso
Sarrià,75,3,1,1.000 €,Piso
Esquerra Alta de l´Eixample,80,3,1,1.050 €,Piso
Esquerra Alta de l´Eixample,62,2,1,990 €,Ático
Sant Gervasi - Galvany,50,,1,750 €,Apartamento
Dreta de l´Eixample,90,3,1,1.100 €,Piso
Dreta de l´Eixample,85,2,2,1.300 €,Piso
Sant Gervasi - Bonanova,300,5,4,8.500 €,Piso
Les Corts,75,3,2,1.800 €,Apartamento
Diagonal Mar - La Mar Bella,108,3,2,1.500 €,Piso
Esquerra Alta de l´Eixample,115,3,2,1.325 €,Piso
Les Corts,83,2,2,1.200 €,Planta
Vila de Gràcia,95,,1,1.190 €,Piso
La Bordeta,50,,1,890 €,Piso
Sant Gervasi - Bonanova,78,3,2,1.295 €,Piso
Sant Gervasi - Galvany,235,3,3,3.200 €,Piso
Esquerra Alta de l´Eixample,100,3,2,1.000 €,Piso
El Clot,101,3,2,1.300 €,Piso
Sant Gervasi - Galvany,190,4,3,2.600 €,Piso
Dreta de l´Eixample,90,2,2,2.400 €,Piso
Gòtic,94,2,2,1.200 €,Piso
Sant Gervasi - Galvany,158,3,2,3.900 €,Ático
Badal,49,,2,690 €,Apartamento
Guinardó,63,2,1,810 €,Piso
Vila de Gràcia,55,,,850 €,Piso
Camp de l´Arpa,138,3,2,1.550 €,Piso
Dreta de l´Eixample,110,4,2,2.050 €,Piso
St. Pere - Sta. Caterina - El Born,110,2,1,1.400 €,Piso
Putget - Farró,60,2,1,800 €,Apartamento
Sants,84,3,2,1.200 €,Ático
La Marina-Montjuïc,80,2,1,1.000 €,Piso
Sant Gervasi - Galvany,190,5,2,8.000 €,Dúplex
Baix Guinardó,180,3,2,1.600 €,Dúplex
Sant Ramon - Maternitat,60,,1,925 €,Piso
Guinardó,57,2,1,700 €,Piso
Gòtic,90,2,1,1.095 €,Piso
Sarrià,115,3,2,2.893 €,Piso
Barceloneta,36,,1,975 €,Ático
Dreta de l´Eixample,70,2,1,1.600 €,Piso
Sagrada Família,83,3,2,1.050 €,Piso
Sants,67,2,1,950 €,Piso
Vila de Gràcia,58,,1,1.805 €,Piso
Sagrada Família,54,,1,1.050 €,Piso
Pedralbes,200,4,3,2.800 €,Piso
Dreta de l´Eixample,78,2,1,950 €,Piso
Raval,45,,1,700 €,Piso
Badal,80,3,1,995 €,Piso
Les Corts,100,3,2,1.300 €,Piso
Sants,70,2,2,945 €,Piso
Putget - Farró,40,,1,750 €,Piso
Sants,101,3,2,1.000 €,Piso
Vallcarca - Penitents,68,3,1,840 €,Piso
Sant Andreu,54,2,1,920 €,Ático
Sant Gervasi - Bonanova,170,4,3,2.300 €,Ático
Gòtic,57,2,1,1.358 €,Piso
Diagonal Mar - La Mar Bella,121,3,2,2.650 €,Piso
Sant Ramon - Maternitat,53,,1,720 €,Loft
Sants,100,3,2,1.010 €,Piso
Les Corts,166,4,3,2.100 €,Piso
Sant Gervasi - Galvany,156,4,2,1.790 €,Piso
Esquerra Alta de l´Eixample,90,3,2,1.300 €,Piso
Barceloneta,34,,1,695 €,Piso
St. Pere - Sta. Caterina - El Born,70,2,1,1.150 €,Piso
Sant Gervasi - Bonanova,135,3,2,1.900 €,Piso
Porta,54,3,1,800 €,Piso
Fort Pienc,120,4,2,1.750 €,Piso
Sagrada Família,82,3,2,1.300 €,Piso
Sant Gervasi - Galvany,65,2,1,1.380 €,Piso
Vila Olímpica,70,2,1,1.150 €,Piso
Vila de Gràcia,60,3,1,975 €,Piso
Barceloneta,86,2,2,1.195 €,Piso
