"","Barri","Metres_Quadrats","Num_Habitacions","Num_Lavabos","Preu","Tipus_Immoble","Districte"
"1","Dreta de l´Eixample",71,2,2,1520,"Piso","Eixample"
"2","Esquerra Alta de l´Eixample",123,3,2,1430,"Piso","Eixample"
"3","Sant Gervasi - Galvany",129,3,2,1780,"Piso","Sarrià-Sant Gervasi"
"4","Badal",86,2,2,1150,"Apartamento","Sants-Montjuïc"
"5","Putget - Farró",105,3,2,1900,"Piso","Sarrià-Sant Gervasi"
"8","Dreta de l´Eixample",80,2,2,1600,"Piso","Eixample"
"9","Camp d´en Grassot - Gràcia N.",61,2,2,1050,"Piso","Gràcia"
"10","Pedralbes",120,4,2,1300,"Piso","Les Corts"
"11","Les Corts",84,3,2,1300,"Piso","Les Corts"
"12","Sant Gervasi - Galvany",190,4,3,4200,"Piso","Sarrià-Sant Gervasi"
"13","Putget - Farró",230,6,3,2950,"Piso","Sarrià-Sant Gervasi"
"14","Esquerra Alta de l´Eixample",104,3,2,1500,"Piso","Eixample"
"16","Sant Gervasi - Galvany",151,3,2,2100,"Piso","Sarrià-Sant Gervasi"
"17","Dreta de l´Eixample",67,2,2,1850,"Piso","Eixample"
"18","Sant Gervasi - Galvany",110,2,2,1600,"Piso","Sarrià-Sant Gervasi"
"19","Putget - Farró",130,3,2,2800,"Ático","Sarrià-Sant Gervasi"
"21","Dreta de l´Eixample",117,2,2,1850,"Piso","Eixample"
"22","Dreta de l´Eixample",132,3,3,1850,"Piso","Eixample"
"23","Sant Gervasi - Galvany",154,4,3,1990,"Piso","Sarrià-Sant Gervasi"
"24","Sant Gervasi - Bonanova",70,2,1,850,"Piso","Sarrià-Sant Gervasi"
"25","Vila de Gràcia",80,4,1,1000,"Piso","Gràcia"
"26","Tres Torres",150,4,3,2700,"Piso","Sarrià-Sant Gervasi"
"27","Esquerra Alta de l´Eixample",74,4,1,1000,"Piso","Eixample"
"28","Sarrià",80,2,1,1300,"Piso","Sarrià-Sant Gervasi"
"29","Sant Gervasi - Bonanova",66,2,1,975,"Ático","Sarrià-Sant Gervasi"
"31","La Marina-Montjuïc",84,3,1,900,"Piso","Sants-Montjuïc"
"32","Camp d´en Grassot - Gràcia N.",75,2,1,1000,"Piso","Gràcia"
"33","El Coll",60,3,1,778,"Piso","Gràcia"
"34","St. Pere - Sta. Caterina - El Born",116,3,2,1500,"Piso","Ciutat Vella"
"35","La Bordeta",55,2,1,870,"Piso","Sants-Montjuïc"
"36","Sant Gervasi - Galvany",70,3,1,1200,"Piso","Sarrià-Sant Gervasi"
"37","Esquerra Alta de l´Eixample",73,3,1,1150,"Piso","Eixample"
"38","Esquerra Alta de l´Eixample",85,2,2,1100,"Piso","Eixample"
"39","Sant Ramon - Maternitat",105,4,2,1350,"Piso","Les Corts"
"40","Esquerra Baixa de l´Eixample",70,3,1,1000,"Piso","Eixample"
"42","Carmel",110,2,2,975,"Piso","Horta-Guinardó"
"43","Sant Gervasi - Galvany",105,3,2,1780,"Piso","Sarrià-Sant Gervasi"
"44","Sagrada Família",70,2,1,890,"Piso","Eixample"
"46","Dreta de l´Eixample",110,3,2,1800,"Piso","Eixample"
"48","Sant Gervasi - Galvany",180,5,2,2000,"Piso","Sarrià-Sant Gervasi"
"49","Guinardó",65,3,2,940,"Piso","Horta-Guinardó"
"50","Sant Gervasi - Galvany",152,5,2,1950,"Piso","Sarrià-Sant Gervasi"
"51","La Bordeta",71,2,1,1060,"Piso","Sants-Montjuïc"
"53","Gòtic",154,2,2,2000,"Piso","Ciutat Vella"
"54","Turó de la Peira - Can Peguera",70,2,1,750,"Piso","Nou Barris"
"57","Dreta de l´Eixample",60,2,1,1000,"Piso","Eixample"
"58","Sarrià",75,3,1,1000,"Piso","Sarrià-Sant Gervasi"
"59","Esquerra Alta de l´Eixample",80,3,1,1050,"Piso","Eixample"
"60","Esquerra Alta de l´Eixample",62,2,1,990,"Ático","Eixample"
"62","Dreta de l´Eixample",90,3,1,1100,"Piso","Eixample"
"63","Dreta de l´Eixample",85,2,2,1300,"Piso","Eixample"
"64","Sant Gervasi - Bonanova",300,5,4,8500,"Piso","Sarrià-Sant Gervasi"
"65","Les Corts",75,3,2,1800,"Apartamento","Les Corts"
"66","Diagonal Mar - La Mar Bella",108,3,2,1500,"Piso","Sant Martí"
"67","Esquerra Alta de l´Eixample",115,3,2,1325,"Piso","Eixample"
"68","Les Corts",83,2,2,1200,"Planta","Les Corts"
"71","Sant Gervasi - Bonanova",78,3,2,1295,"Piso","Sarrià-Sant Gervasi"
"72","Sant Gervasi - Galvany",235,3,3,3200,"Piso","Sarrià-Sant Gervasi"
"73","Esquerra Alta de l´Eixample",100,3,2,1000,"Piso","Eixample"
"74","El Clot",101,3,2,1300,"Piso","Sant Martí"
"75","Sant Gervasi - Galvany",190,4,3,2600,"Piso","Sarrià-Sant Gervasi"
